ep_idx,eHMI,专家决策,AIRL生成决策,BC生成决策,GAIL生成决策,BC生成决策_一致,GAIL生成决策_一致,AIRL生成决策_一致
0,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
1,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
2,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
3,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
4,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
5,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
6,无eHMI,左转先通过,都未通过,左转先通过,都未通过,True,False,False
7,有eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
8,无eHMI,左转先通过,左转先通过,都未通过,左转先通过,False,True,True
9,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
10,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
11,有eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
12,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
13,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
14,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
15,有eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
16,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
17,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
18,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
19,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
20,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
21,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
22,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
23,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
24,有eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
25,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
26,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
27,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
28,有eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
29,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
30,有eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
31,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
32,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
33,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
34,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
35,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
36,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
37,有eHMI,直行先通过,直行先通过,直行先通过,左转先通过,True,False,True
38,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
39,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
40,有eHMI,直行先通过,左转先通过,左转先通过,左转先通过,False,False,False
41,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
42,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
43,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
44,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
45,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
46,有eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
47,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
48,有eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
49,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
50,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
51,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
52,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
53,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
54,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
55,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
56,有eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
57,无eHMI,左转先通过,都未通过,左转先通过,左转先通过,True,True,False
58,有eHMI,左转先通过,左转先通过,都未通过,左转先通过,False,True,True
59,无eHMI,左转先通过,都未通过,左转先通过,都未通过,True,False,False
60,有eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
61,无eHMI,左转先通过,都未通过,左转先通过,左转先通过,True,True,False
62,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
63,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
64,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
65,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
66,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
67,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
68,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
69,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
70,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
71,有eHMI,左转先通过,直行先通过,直行先通过,直行先通过,False,False,False
72,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
73,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
74,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
75,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
76,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
77,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
78,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
79,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
80,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
81,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
82,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
83,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
84,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
85,有eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
86,有eHMI,左转先通过,都未通过,都未通过,都未通过,False,False,False
87,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
88,无eHMI,左转先通过,都未通过,都未通过,都未通过,False,False,False
89,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
90,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
91,无eHMI,左转先通过,都未通过,左转先通过,都未通过,True,False,False
92,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
93,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
94,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
95,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
96,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
97,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
