model,ep_idx,eHMI,expert_decision,gen_decision,same,expert_hv_pass_t,expert_ego_pass_t,gen_hv_pass_t,gen_ego_pass_t
AIRL,0,无eHMI,直行先通过,直行先通过,True,97,47.0,93.0,47.0
AIRL,1,有eHMI,直行先通过,直行先通过,True,116,47.0,87.0,47.0
AIRL,2,无eHMI,左转先通过,左转先通过,True,66,,77.0,
AIRL,3,有eHMI,直行先通过,直行先通过,True,139,62.0,106.0,62.0
AIRL,4,无eHMI,左转先通过,左转先通过,True,45,,63.0,
AIRL,5,有eHMI,直行先通过,直行先通过,True,154,74.0,109.0,74.0
AIRL,6,无eHMI,左转先通过,都未通过,False,44,,,
AIRL,7,有eHMI,左转先通过,左转先通过,True,55,,74.0,
AIRL,8,无eHMI,左转先通过,左转先通过,True,49,,72.0,
AIRL,9,有eHMI,直行先通过,直行先通过,True,104,56.0,98.0,56.0
AIRL,10,有eHMI,直行先通过,直行先通过,True,80,48.0,92.0,48.0
AIRL,11,有eHMI,左转先通过,左转先通过,True,41,,47.0,
AIRL,12,无eHMI,左转先通过,左转先通过,True,67,,86.0,
AIRL,13,无eHMI,直行先通过,直行先通过,True,80,55.0,91.0,55.0
AIRL,14,有eHMI,直行先通过,直行先通过,True,95,61.0,94.0,61.0
AIRL,15,有eHMI,左转先通过,左转先通过,True,52,,58.0,
AIRL,16,无eHMI,左转先通过,左转先通过,True,53,,51.0,
AIRL,17,有eHMI,直行先通过,直行先通过,True,98,65.0,97.0,65.0
AIRL,18,无eHMI,左转先通过,左转先通过,True,49,,64.0,
AIRL,19,有eHMI,直行先通过,直行先通过,True,102,57.0,93.0,57.0
AIRL,20,无eHMI,直行先通过,直行先通过,True,65,45.0,81.0,45.0
AIRL,21,有eHMI,直行先通过,直行先通过,True,84,46.0,84.0,46.0
AIRL,22,无eHMI,左转先通过,左转先通过,True,62,,62.0,
AIRL,23,有eHMI,直行先通过,直行先通过,True,113,61.0,99.0,61.0
AIRL,24,有eHMI,左转先通过,左转先通过,True,67,,64.0,
AIRL,25,无eHMI,左转先通过,左转先通过,True,47,,55.0,
AIRL,26,无eHMI,直行先通过,直行先通过,True,96,60.0,98.0,60.0
AIRL,27,有eHMI,直行先通过,直行先通过,True,95,56.0,94.0,56.0
AIRL,28,有eHMI,左转先通过,左转先通过,True,52,,55.0,
AIRL,29,无eHMI,左转先通过,左转先通过,True,57,,55.0,
AIRL,30,有eHMI,左转先通过,左转先通过,True,54,,65.0,
AIRL,31,无eHMI,左转先通过,左转先通过,True,46,,62.0,
AIRL,32,有eHMI,直行先通过,直行先通过,True,91,47.0,88.0,47.0
AIRL,33,有eHMI,直行先通过,直行先通过,True,99,47.0,87.0,47.0
AIRL,34,无eHMI,左转先通过,左转先通过,True,76,,73.0,
